age_class,EMS,date,var,value
"[65, Inf)",0,2020-05-03,case_incid,1
"[65, Inf)",1,2020-05-03,case_incid,1
"[-Inf,5)",0,2020-05-04,case_incid,0
"[5,10)",0,2020-05-04,case_incid,0
"[10,20)",0,2020-05-04,case_incid,0
"[20,50)",0,2020-05-04,case_incid,5
"[50,65)",0,2020-05-04,case_incid,0
"[50,65)",1,2020-05-04,case_incid,0
"[65, Inf)",0,2020-05-04,case_incid,0
"[65, Inf)",1,2020-05-04,case_incid,1
"[-Inf,5)",0,2020-05-05,case_incid,0
"[5,10)",0,2020-05-05,case_incid,1
"[10,20)",0,2020-05-05,case_incid,0
"[20,50)",0,2020-05-05,case_incid,5
"[50,65)",0,2020-05-05,case_incid,0
"[50,65)",1,2020-05-05,case_incid,0
"[65, Inf)",0,2020-05-05,case_incid,2
"[65, Inf)",1,2020-05-05,case_incid,1
"[-Inf,5)",0,2020-05-06,case_incid,1
"[5,10)",0,2020-05-06,case_incid,0
"[10,20)",0,2020-05-06,case_incid,0
"[20,50)",0,2020-05-06,case_incid,1
"[50,65)",0,2020-05-06,case_incid,3
"[50,65)",1,2020-05-06,case_incid,0
"[65, Inf)",0,2020-05-06,case_incid,1
"[65, Inf)",1,2020-05-06,case_incid,1
"[-Inf,5)",0,2020-05-07,case_incid,0
"[5,10)",0,2020-05-07,case_incid,0
"[10,20)",0,2020-05-07,case_incid,0
"[20,50)",0,2020-05-07,case_incid,6
"[50,65)",0,2020-05-07,case_incid,2
"[50,65)",1,2020-05-07,case_incid,0
"[65, Inf)",0,2020-05-07,case_incid,0
"[65, Inf)",1,2020-05-07,case_incid,0
"[-Inf,5)",0,2020-05-08,case_incid,0
"[5,10)",0,2020-05-08,case_incid,0
"[10,20)",0,2020-05-08,case_incid,1
"[20,50)",0,2020-05-08,case_incid,0
"[50,65)",0,2020-05-08,case_incid,3
"[50,65)",1,2020-05-08,case_incid,0
"[65, Inf)",0,2020-05-08,case_incid,1
